Name,Category,Amt,Date
Rent,Bill,800,4/30/2024
Sport Illustrated,Eating out,7.74,4/30/2024
Stanley cycling,Entertainment,8.09,4/29/2024
Beer,Impulse,8.23,4/29/2024
Evening snacks,Eating out,20.79,4/29/2024
Groceries,Grocery,38.22,4/28/2024
Tax walk in,Personal,67.2,4/28/2024
MBAN Gala,Uni,24.02,4/26/2024
Vape Juice,Impulse,6.4,4/22/2024
Daksh birthday,Entertainment,3.12,4/21/2024
Google One Subscr.,Bill,3.13,4/20/2024
Café Monet,Eating out,5.68,4/20/2024
FIDO,Bill,42,4/18/2024
Groceries,Grocery,76.12,4/18/2024
Tim Horton's,Eating out,5.76,4/18/2024
BASC 521 Simulation,Uni,24.14,4/18/2024
BC MSP,Bill,75,4/17/2024
Vape Pod,Impulse,2.5,4/15/2024
Uber Lougheed,Entertainment,11.79,4/12/2024
Tim Horton's,Eating out,7.34,4/12/2024
Groceries,Grocery,25.72,4/12/2024
Roshan's birthday,Entertainment,1.4,4/11/2024
Table tennis,Entertainment,7.84,4/10/2024
Badminton,Entertainment,4.51,4/9/2024
Junk food,Impulse,21.75,4/7/2024
Vape Juice,Impulse,11.25,4/7/2024
Groceries,Grocery,49.74,4/7/2024
Utilities,Bill,68.2,4/4/2024
Amazon Prime,Personal,5.59,4/4/2024
Milk,Grocery,1.23,4/4/2024
Triple O's,Eating out,7.13,4/2/2024
Rent,Bill,800,3/30/2024
Holi,Entertainment,10,3/30/2024
W4 Groceries,Grocery,36.02,3/30/2024
Canna Cabana,Entertainment,35.43,3/26/2024
Vape juice,Entertainment,10.4,3/25/2024
Canna Cabana,Entertainment,6.19,3/25/2024
Browns dinner,Eating out,38.6,3/24/2024
Uncle fatihs,Eating out,9.01,3/21/2024
Google One membership,Personal,0.77,3/20/2024
W3 Groceries,Grocery,93.85,3/18/2024
FIDO,Bill,51.52,3/18/2024
BC MSP,Bill,300,3/17/2024
Common Groceries,Grocery,3.84,3/17/2024
Mc Donald's,Eating out,4.4,3/17/2024
Gummies,Entertainment,6.07,3/17/2024
Ice Cream,Eating out,7.64,3/16/2024
Groceries,Grocery,8.03,3/16/2024
